time	V(output)
0.000000000000000e+000	4.999970e+000
6.599999954748909e-008	4.999908e+000
7.599999954748909e-008	4.997875e+000
8.599999954748909e-008	4.875997e+000
9.599999954748909e-008	3.925397e+000
1.159999995474891e-007	4.564835e-001
1.209999995474891e-007	3.296162e-003
1.309999995474891e-007	4.754224e-004
1.509999995474891e-007	4.810244e-005
1.909999995474891e-007	2.999985e-005
6.030999999547492e-006	2.999985e-005
1.187099999954749e-005	2.999985e-005
1.771099999954750e-005	2.999985e-005
2.355099999954750e-005	2.999985e-005
2.939099999954750e-005	2.999985e-005
3.523099999954750e-005	2.999985e-005
4.107099999954749e-005	2.999985e-005
8.267552582176589e-005	2.999985e-005
9.169888733282336e-005	2.999985e-005
9.441203828868368e-005	2.999985e-005
9.712518924454402e-005	2.999985e-005
9.983834020040434e-005	2.999985e-005
1.025514911562647e-004	2.999985e-005
1.052646421121250e-004	2.999985e-005
1.079777930679853e-004	2.999985e-005
1.106909440238456e-004	2.999985e-005
1.107009440238456e-004	3.232519e-005
1.107109440238456e-004	9.614843e-005
1.107209440238456e-004	2.127602e-003
1.107309440238456e-004	1.240036e-001
1.107409440238456e-004	1.074603e+000
1.107609440238456e-004	3.489334e+000
1.108009440238456e-004	4.997335e+000
1.108809440238456e-004	4.999967e+000
1.174295154524170e-004	4.999969e+000
1.239780868809885e-004	4.999970e+000
1.305266583095599e-004	4.999971e+000
1.370752297381313e-004	4.999971e+000
1.436238011667028e-004	4.999971e+000
1.501723725952742e-004	4.999971e+000
1.567209440238456e-004	4.999970e+000
1.610579529524170e-004	4.999989e+000
1.653949618809885e-004	4.999999e+000
1.697319708095599e-004	4.999999e+000
1.740689797381313e-004	4.999991e+000
1.784059886667027e-004	4.999973e+000
1.827429975952742e-004	4.999945e+000
1.870800065238456e-004	4.999908e+000
1.870900065238456e-004	4.997875e+000
1.871000065238456e-004	4.875997e+000
1.871100065238456e-004	3.925397e+000
1.871300065238455e-004	4.564835e-001
1.871350065238455e-004	3.296162e-003
1.871450065238455e-004	4.754224e-004
1.871650065238455e-004	4.810244e-005
1.872050065238455e-004	2.999985e-005
1.936850065238455e-004	2.999985e-005
2.001650065238455e-004	2.999985e-005
2.066450065238455e-004	2.999985e-005
2.131250065238455e-004	2.999985e-005
2.196050065238455e-004	2.999985e-005
2.260850065238455e-004	2.999985e-005
2.325650065238455e-004	2.999985e-005
2.376850065238455e-004	2.999985e-005
2.405183547381312e-004	2.999985e-005
2.433517029524169e-004	2.999985e-005
2.461850511667027e-004	2.999985e-005
2.490183993809883e-004	2.999985e-005
2.518517475952740e-004	2.999985e-005
2.546850958095598e-004	2.999985e-005
2.575184440238455e-004	2.999985e-005
2.575284440238455e-004	3.232519e-005
2.575384440238454e-004	9.614843e-005
2.575484440238454e-004	2.127602e-003
2.575584440238454e-004	1.240036e-001
2.575684440238454e-004	1.074603e+000
2.575884440238454e-004	3.489334e+000
2.576284440238454e-004	4.997335e+000
2.577084440238454e-004	4.999967e+000
2.642570154524169e-004	4.999969e+000
2.708055868809883e-004	4.999970e+000
2.773541583095597e-004	4.999971e+000
2.839027297381311e-004	4.999971e+000
2.904513011667026e-004	4.999971e+000
2.969998725952740e-004	4.999971e+000
3.035484440238454e-004	4.999970e+000
3.078868815238454e-004	4.999989e+000
3.122253190238454e-004	4.999999e+000
3.165637565238454e-004	5.000000e+000
3.209021940238454e-004	4.999991e+000
3.252406315238454e-004	4.999973e+000
3.295790690238454e-004	4.999945e+000
3.339175065238454e-004	4.999908e+000
3.339275065238454e-004	4.997875e+000
3.339375065238454e-004	4.875997e+000
3.339475065238454e-004	3.925397e+000
3.339675065238453e-004	4.564835e-001
3.339725065238454e-004	3.296162e-003
3.339825065238454e-004	4.754224e-004
3.340025065238454e-004	4.810244e-005
3.340425065238453e-004	2.999985e-005
3.405225065238453e-004	2.999985e-005
3.470025065238453e-004	2.999985e-005
3.534825065238453e-004	2.999985e-005
3.599625065238454e-004	2.999985e-005
3.664425065238454e-004	2.999985e-005
3.729225065238453e-004	2.999985e-005
3.794025065238453e-004	2.999985e-005
3.845225065238453e-004	2.999985e-005
3.873558547381310e-004	2.999985e-005
3.901892029524167e-004	2.999985e-005
3.930225511667024e-004	2.999985e-005
3.958558993809882e-004	2.999985e-005
3.986892475952739e-004	2.999985e-005
4.015225958095596e-004	2.999985e-005
4.043559440238453e-004	2.999985e-005
4.043659440238453e-004	3.232519e-005
4.043759440238453e-004	9.614843e-005
4.043859440238453e-004	2.127602e-003
4.043959440238453e-004	1.240036e-001
4.044059440238453e-004	1.074603e+000
4.044259440238452e-004	3.489334e+000
4.044659440238452e-004	4.997335e+000
4.045459440238452e-004	4.999967e+000
4.110945154524167e-004	4.999969e+000
4.176430868809881e-004	4.999970e+000
4.241916583095595e-004	4.999971e+000
4.307402297381310e-004	4.999971e+000
4.372888011667024e-004	4.999971e+000
4.438373725952739e-004	4.999971e+000
4.503859440238452e-004	4.999970e+000
4.547243815238452e-004	4.999989e+000
4.590628190238452e-004	4.999999e+000
4.634012565238453e-004	5.000000e+000
4.677396940238452e-004	4.999991e+000
4.720781315238452e-004	4.999973e+000
4.764165690238452e-004	4.999945e+000
4.807550065238452e-004	4.999908e+000
4.807650065238452e-004	4.997875e+000
4.807750065238452e-004	4.875997e+000
4.807850065238452e-004	3.925397e+000
4.808050065238452e-004	4.564835e-001
4.808100065238452e-004	3.296162e-003
4.808200065238452e-004	4.754224e-004
4.808400065238452e-004	4.810244e-005
4.808800065238452e-004	2.999985e-005
4.873600065238452e-004	2.999985e-005
4.938400065238451e-004	2.999985e-005
5.003200065238451e-004	2.999985e-005
5.068000065238451e-004	2.999985e-005
5.132800065238451e-004	2.999985e-005
5.197600065238451e-004	2.999985e-005
5.262400065238451e-004	2.999985e-005
5.313600065238451e-004	2.999985e-005
5.341933547381309e-004	2.999985e-005
5.370267029524166e-004	2.999985e-005
5.398600511667024e-004	2.999985e-005
5.426933993809880e-004	2.999985e-005
5.455267475952738e-004	2.999985e-005
5.483600958095596e-004	2.999985e-005
5.511934440238453e-004	2.999985e-005
5.512034440238454e-004	3.232519e-005
5.512134440238454e-004	9.614843e-005
5.512234440238455e-004	2.127602e-003
