time	V(output)
0.000000000000000e+000	4.999970e+000
6.599999954748909e-008	4.999908e+000
7.599999954748909e-008	4.997875e+000
8.599999954748909e-008	4.875997e+000
9.599999954748909e-008	3.925397e+000
1.159999995474891e-007	4.564835e-001
1.209999995474891e-007	3.296162e-003
1.309999995474891e-007	4.754224e-004
1.509999995474891e-007	4.810244e-005
1.909999995474891e-007	2.999985e-005
1.807281428566904e-004	2.999985e-005
3.612652857138334e-004	2.999985e-005
5.418024285709764e-004	2.999985e-005
7.223395714281194e-004	2.999985e-005
9.028767142852623e-004	2.999985e-005
1.083413857142405e-003	2.999985e-005
1.263950999999548e-003	2.999985e-005
1.463950999999548e-003	2.999985e-005
1.663950999999548e-003	2.999985e-005
1.863950999999548e-003	2.999985e-005
2.163950999999548e-003	2.999985e-005
2.220703722777868e-003	2.999985e-005
2.220713722777868e-003	3.232519e-005
2.220723722777868e-003	9.614843e-005
2.220733722777867e-003	2.127602e-003
2.220743722777867e-003	7.574016e-001
2.220763722777867e-003	3.096018e+000
2.220803722777867e-003	4.840012e+000
2.220883722777867e-003	4.999969e+000
2.401409437063581e-003	4.999969e+000
2.581935151349296e-003	4.999970e+000
2.762460865635009e-003	4.999970e+000
2.942986579920724e-003	4.999970e+000
3.123512294206438e-003	4.999970e+000
3.304038008492152e-003	4.999970e+000
3.484563722777865e-003	4.999970e+000
3.616259770141147e-003	4.999908e+000
3.616269770141147e-003	4.997875e+000
3.616279770141147e-003	4.242599e+000
3.616299770141147e-003	7.630588e-001
3.616304770141147e-003	1.900568e-001
3.616314770141146e-003	6.846532e-003
3.616317270141146e-003	7.386730e-004
3.616322270141146e-003	2.688097e-004
3.616332270141146e-003	6.951380e-005
3.616352270141146e-003	3.071403e-005
3.616392270141146e-003	2.999985e-005
3.796929412998290e-003	2.999985e-005
3.977466555855433e-003	2.999985e-005
4.158003698712576e-003	2.999985e-005
4.338540841569719e-003	2.999985e-005
4.519077984426863e-003	2.999985e-005
4.699615127284005e-003	2.999985e-005
4.880152270141149e-003	2.999985e-005
5.021904649596716e-003	2.999985e-005
5.021914649596716e-003	3.232519e-005
5.021924649596716e-003	9.614843e-005
5.021934649596715e-003	2.127602e-003
5.021944649596715e-003	1.240036e-001
5.021954649596715e-003	1.074603e+000
5.021974649596715e-003	3.489334e+000
5.022014649596715e-003	4.997335e+000
5.022094649596715e-003	4.999967e+000
5.202620363882430e-003	4.999968e+000
5.383146078168145e-003	4.999969e+000
5.563671792453860e-003	4.999970e+000
5.744197506739574e-003	4.999971e+000
5.924723221025289e-003	4.999971e+000
6.105248935311003e-003	4.999970e+000
6.285774649596718e-003	4.999970e+000
6.417464021239785e-003	4.999908e+000
6.417474021239785e-003	4.997875e+000
6.417484021239784e-003	4.242599e+000
6.417504021239784e-003	7.630588e-001
6.417509021239784e-003	1.900568e-001
6.417519021239784e-003	6.846532e-003
6.417521521239785e-003	7.386730e-004
6.417526521239785e-003	2.688097e-004
6.417536521239785e-003	6.951380e-005
6.417556521239784e-003	3.071403e-005
6.417596521239784e-003	2.999985e-005
6.598133664096928e-003	2.999985e-005
6.778670806954071e-003	2.999985e-005
6.959207949811214e-003	2.999985e-005
7.139745092668358e-003	2.999985e-005
7.320282235525501e-003	2.999985e-005
7.500819378382644e-003	2.999985e-005
7.681356521239787e-003	2.999985e-005
7.823108900695354e-003	2.999985e-005
7.823118900695354e-003	3.232519e-005
7.823128900695354e-003	9.614843e-005
7.823138900695354e-003	2.127602e-003
7.823148900695354e-003	1.240036e-001
7.823158900695354e-003	1.074603e+000
7.823178900695353e-003	3.489334e+000
7.823218900695353e-003	4.997335e+000
7.823298900695353e-003	4.999967e+000
8.003824614981066e-003	4.999968e+000
8.184350329266779e-003	4.999969e+000
8.364876043552492e-003	4.999970e+000
8.545401757838207e-003	4.999971e+000
8.725927472123920e-003	4.999971e+000
8.906453186409633e-003	4.999970e+000
9.086978900695346e-003	4.999970e+000
9.218656937194366e-003	4.999908e+000
9.218666937194366e-003	4.997875e+000
9.218676937194366e-003	4.875997e+000
9.218686937194366e-003	3.925397e+000
9.218706937194366e-003	4.564835e-001
9.218711937194367e-003	3.296162e-003
9.218721937194366e-003	4.754224e-004
9.218741937194366e-003	4.810244e-005
9.218781937194366e-003	2.999985e-005
9.399319080051509e-003	2.999985e-005
9.579856222908649e-003	2.999985e-005
9.760393365765792e-003	2.999985e-005
9.940930508622933e-003	2.999985e-005
1.012146765148008e-002	2.999985e-005
1.030200479433722e-002	2.999985e-005
1.048254193719436e-002	2.999985e-005
1.062430099237014e-002	2.999985e-005
1.062431099237014e-002	3.232519e-005
1.062432099237014e-002	9.614843e-005
1.062433099237014e-002	2.127602e-003
1.062434099237014e-002	7.574016e-001
1.062436099237014e-002	3.096018e+000
1.062440099237014e-002	4.840012e+000
1.062448099237014e-002	4.999969e+000
1.080500670665585e-002	4.999969e+000
1.098553242094157e-002	4.999970e+000
1.116605813522728e-002	4.999970e+000
1.134658384951299e-002	4.999970e+000
1.152710956379871e-002	4.999970e+000
1.170763527808442e-002	4.999970e+000
1.188816099237013e-002	4.999970e+000
1.201985036401320e-002	4.999908e+000
1.201986036401320e-002	4.997875e+000
1.201987036401320e-002	4.875997e+000
1.201988036401320e-002	3.925397e+000
1.201990036401320e-002	4.564835e-001
1.201990536401320e-002	3.296162e-003
1.201991536401320e-002	4.754224e-004
1.201993536401320e-002	4.810244e-005
1.201997536401320e-002	2.999985e-005
1.220051250687034e-002	2.999985e-005
1.238104964972748e-002	2.999985e-005
1.256158679258462e-002	2.999985e-005
1.274212393544176e-002	2.999985e-005
1.292266107829891e-002	2.999985e-005
1.310319822115605e-002	2.999985e-005
1.328373536401319e-002	2.999985e-005
1.342549441918897e-002	2.999985e-005
1.342550441918897e-002	3.232519e-005
1.342551441918897e-002	9.614843e-005
1.342552441918897e-002	2.127602e-003
1.342553441918897e-002	7.574016e-001
1.342555441918897e-002	3.096018e+000
1.342559441918897e-002	4.840012e+000
1.342567441918897e-002	4.999969e+000
1.360620013347468e-002	4.999969e+000
1.378672584776040e-002	4.999970e+000
1.396725156204611e-002	4.999970e+000
1.414777727633182e-002	4.999970e+000
1.432830299061754e-002	4.999970e+000
