time	V(output)
0.000000000000000e+000	4.999970e+000
6.599999954748909e-008	4.999908e+000
7.599999954748909e-008	4.997875e+000
8.599999954748909e-008	4.875997e+000
9.599999954748909e-008	3.925397e+000
1.159999995474891e-007	4.564835e-001
1.209999995474891e-007	3.296162e-003
1.309999995474891e-007	4.754224e-004
1.509999995474891e-007	4.810244e-005
1.909999995474891e-007	2.999985e-005
2.358528571383321e-005	2.999985e-005
4.697957142811893e-005	2.999985e-005
7.037385714240466e-005	2.999985e-005
9.376814285669039e-005	2.999985e-005
1.171624285709761e-004	2.999985e-005
1.405567142852618e-004	2.999985e-005
1.639509999995475e-004	2.999985e-005
2.639509999995475e-004	2.999985e-005
3.639509999995475e-004	2.999985e-005
4.686384999995475e-004	2.999985e-005
4.809136158355548e-004	2.999985e-005
4.931887316715621e-004	2.999985e-005
5.054638475075694e-004	2.999985e-005
5.177389633435767e-004	2.999985e-005
5.300140791795840e-004	2.999985e-005
5.422891950155912e-004	2.999985e-005
5.545643108515985e-004	2.999985e-005
5.545743108515985e-004	3.232519e-005
5.545843108515986e-004	9.614843e-005
5.545943108515986e-004	2.127602e-003
5.546043108515987e-004	1.240036e-001
5.546143108515987e-004	1.074603e+000
5.546343108515987e-004	3.489334e+000
5.546743108515987e-004	4.997335e+000
5.547543108515987e-004	4.999967e+000
5.781371679944559e-004	4.999969e+000
6.015200251373129e-004	4.999970e+000
6.249028822801701e-004	4.999971e+000
6.482857394230273e-004	4.999972e+000
6.716685965658844e-004	4.999971e+000
6.950514537087416e-004	4.999971e+000
7.184343108515987e-004	4.999970e+000
7.455385134708789e-004	4.999990e+000
7.726427160901590e-004	5.000000e+000
7.997469187094392e-004	5.000000e+000
8.268511213287194e-004	4.999992e+000
8.539553239479995e-004	4.999973e+000
8.810595265672797e-004	4.999946e+000
9.081637291865598e-004	4.999908e+000
9.081737291865598e-004	4.997875e+000
9.081837291865599e-004	4.875997e+000
9.081937291865599e-004	3.925397e+000
9.082137291865599e-004	4.564835e-001
9.082187291865599e-004	3.296162e-003
9.082287291865600e-004	4.754224e-004
9.082487291865599e-004	4.810244e-005
9.082887291865599e-004	2.999985e-005
9.316830149008456e-004	2.999985e-005
9.550773006151313e-004	2.999985e-005
9.784715863294172e-004	2.999985e-005
1.001865872043703e-003	2.999985e-005
1.025260157757989e-003	2.999985e-005
1.048654443472274e-003	2.999985e-005
1.072048729186560e-003	2.999985e-005
1.176736229186560e-003	2.999985e-005
1.188540611379989e-003	2.999985e-005
1.200344993573418e-003	2.999985e-005
1.212149375766847e-003	2.999985e-005
1.223953757960277e-003	2.999985e-005
1.235758140153706e-003	2.999985e-005
1.247562522347135e-003	2.999985e-005
1.259366904540564e-003	2.999985e-005
1.259376904540564e-003	3.232519e-005
1.259386904540564e-003	9.614843e-005
1.259396904540564e-003	2.127602e-003
1.259406904540564e-003	1.240036e-001
1.259416904540564e-003	1.074603e+000
1.259436904540564e-003	3.489334e+000
1.259476904540564e-003	4.997335e+000
1.259556904540564e-003	4.999967e+000
1.282939761683421e-003	4.999969e+000
1.306322618826278e-003	4.999970e+000
1.329705475969135e-003	4.999971e+000
1.353088333111992e-003	4.999972e+000
1.376471190254849e-003	4.999971e+000
1.399854047397707e-003	4.999971e+000
1.423236904540564e-003	4.999970e+000
1.450341107159844e-003	4.999990e+000
1.477445309779124e-003	5.000000e+000
1.504549512398404e-003	5.000000e+000
1.531653715017684e-003	4.999992e+000
1.558757917636964e-003	4.999973e+000
1.585862120256244e-003	4.999946e+000
1.612966322875524e-003	4.999908e+000
1.612976322875524e-003	4.997875e+000
1.612986322875524e-003	4.875997e+000
1.612996322875524e-003	3.925397e+000
1.613016322875524e-003	4.564835e-001
1.613021322875524e-003	3.296162e-003
1.613031322875524e-003	4.754224e-004
1.613051322875524e-003	4.810244e-005
1.613091322875524e-003	2.999985e-005
1.636485608589810e-003	2.999985e-005
1.659879894304095e-003	2.999985e-005
1.683274180018381e-003	2.999985e-005
1.706668465732667e-003	2.999985e-005
1.730062751446953e-003	2.999985e-005
1.753457037161238e-003	2.999985e-005
1.776851322875524e-003	2.999985e-005
1.881538822875524e-003	2.999985e-005
1.893343205068953e-003	2.999985e-005
1.905147587262382e-003	2.999985e-005
1.916951969455812e-003	2.999985e-005
1.928756351649241e-003	2.999985e-005
1.940560733842670e-003	2.999985e-005
1.952365116036099e-003	2.999985e-005
1.964169498229528e-003	2.999985e-005
1.964179498229528e-003	3.232519e-005
1.964189498229528e-003	9.614843e-005
1.964199498229528e-003	2.127602e-003
1.964209498229528e-003	1.240036e-001
1.964219498229528e-003	1.074603e+000
1.964239498229528e-003	3.489334e+000
1.964279498229528e-003	4.997336e+000
1.964359498229528e-003	4.999967e+000
1.987742355372385e-003	4.999969e+000
2.011125212515242e-003	4.999970e+000
2.034508069658099e-003	4.999971e+000
2.057890926800956e-003	4.999972e+000
2.081273783943813e-003	4.999971e+000
2.104656641086671e-003	4.999971e+000
2.128039498229528e-003	4.999970e+000
2.155143700848807e-003	4.999990e+000
2.182247903468088e-003	5.000000e+000
2.209352106087368e-003	5.000000e+000
2.236456308706648e-003	4.999992e+000
2.263560511325928e-003	4.999973e+000
2.290664713945208e-003	4.999946e+000
2.317768916564488e-003	4.999908e+000
2.317778916564488e-003	4.997875e+000
2.317788916564488e-003	4.875997e+000
2.317798916564488e-003	3.925397e+000
2.317818916564488e-003	4.564835e-001
2.317823916564488e-003	3.296162e-003
2.317833916564488e-003	4.754224e-004
2.317853916564487e-003	4.810244e-005
2.317893916564488e-003	2.999985e-005
2.341288202278773e-003	2.999985e-005
2.364682487993059e-003	2.999985e-005
2.388076773707345e-003	2.999985e-005
2.411471059421631e-003	2.999985e-005
2.434865345135916e-003	2.999985e-005
2.458259630850202e-003	2.999985e-005
2.481653916564487e-003	2.999985e-005
2.586341416564487e-003	2.999985e-005
2.598145798757916e-003	2.999985e-005
2.609950180951345e-003	2.999985e-005
2.621754563144774e-003	2.999985e-005
2.633558945338204e-003	2.999985e-005
2.645363327531633e-003	2.999985e-005
2.657167709725062e-003	2.999985e-005
2.668972091918491e-003	2.999985e-005
2.668982091918491e-003	3.232519e-005
2.668992091918491e-003	9.614843e-005
